ID,LONG_AXIS,PIXEL_SCALE,ROUNDNESS,SHORT_AXIS,SURFACE,VOLUME
218,4.3363038,9.0420000,0.79562528,3.4500730,47.000000,162.15343
219,6.6284976,9.0420000,0.55059658,3.6496281,76.000000,277.37174
220,5.4843043,9.0420000,0.69847516,3.8306504,66.000000,252.82292
221,4.9075792,9.0420000,0.75333882,3.6970699,57.000000,210.73299
222,6.2942312,9.0420000,0.44993810,2.8320144,56.000000,158.59281
223,4.8127132,9.0420000,0.74210254,3.5715267,54.000000,192.86244
224,8.2682155,9.0420000,0.64720424,5.3512241,139.00000,743.82016
225,7.8089114,9.0420000,0.62117804,4.8507243,119.00000,577.23619
226,3.6298459,9.0420000,0.77307874,2.8061567,32.000000,89.797014
227,4.7941631,9.0420000,0.69245972,3.3197649,50.000000,165.98824
228,4.5993627,9.0420000,0.64702828,2.9759177,43.000000,127.96446
229,4.9159764,9.0420000,0.60588245,2.9785039,46.000000,137.01118
230,2.9912950,9.0420000,0.74705217,2.2346534,21.000000,46.927722
231,6.1637836,9.0420000,0.57810197,3.5632955,69.000000,245.86739
232,6.7350624,9.0420000,0.62453515,4.2062832,89.000000,374.35921
233,5.1395645,9.0420000,0.43381042,2.2295967,36.000000,80.265480
234,2.8583443,9.0420000,0.89608431,2.5613175,23.000000,58.910303
235,4.9869442,9.0420000,0.94713704,4.7233196,74.000000,349.52565
236,6.2353635,9.0420000,0.55671829,3.4713409,68.000000,236.05118
237,7.5418928,9.0420000,0.44209592,3.3342400,79.000000,263.40496
238,3.2459051,9.0420000,0.93656986,3.0400169,31.000000,94.240524
239,6.3770195,9.0420000,0.59487843,3.7935514,76.000000,288.30991
240,4.6684071,9.0420000,0.86171708,4.0228461,59.000000,237.34792
241,3.2666615,9.0420000,0.68607199,2.2411650,23.000000,51.546794
242,5.9770999,9.0420000,0.78406446,4.6864316,88.000000,412.40598
243,5.5547777,9.0420000,0.61896773,3.4382282,60.000000,206.29369
244,4.7512381,9.0420000,0.59222377,2.8137961,42.000000,118.17944
245,2.7147034,9.0420000,0.90703626,2.4623344,21.000000,51.709023
246,3.3658465,9.0420000,0.64623334,2.1751222,23.000000,50.027811
247,5.1341061,9.0420000,0.39850557,2.0459699,33.000000,67.517005
